thick,crossplane,y,x,r,temp
1.99526e-08,2.24299,1,2,0.30000000000000004,300
2.51189e-08,2.41703,1,2,0.30000000000000004,300
3.16228e-08,2.60067,1,2,0.30000000000000004,300
3.98107e-08,2.79434,1,2,0.30000000000000004,300
5.01187e-08,2.99839,1,2,0.30000000000000004,300
6.30957e-08,3.21307,1,2,0.30000000000000004,300
7.94328e-08,3.43853,1,2,0.30000000000000004,300
1e-07,3.67474,1,2,0.30000000000000004,300
1.25893e-07,3.92149,1,2,0.30000000000000004,300
1.58489e-07,4.17838,1,2,0.30000000000000004,300
1.99526e-07,4.44472,1,2,0.30000000000000004,300
2.51189e-07,4.71956,1,2,0.30000000000000004,300
3.16228e-07,5.00165,1,2,0.30000000000000004,300
3.98107e-07,5.28947,1,2,0.30000000000000004,300
5.01187e-07,5.5812,1,2,0.30000000000000004,300
6.30957e-07,5.87478,1,2,0.30000000000000004,300
7.94328e-07,6.16793,1,2,0.30000000000000004,300
1e-06,6.45817,1,2,0.30000000000000004,300
1.25893e-06,6.74286,1,2,0.30000000000000004,300
1.58489e-06,7.0192,1,2,0.30000000000000004,300
1.99526e-06,7.28436,1,2,0.30000000000000004,300
2.51189e-06,7.53561,1,2,0.30000000000000004,300
3.16228e-06,7.7704,1,2,0.30000000000000004,300
3.98107e-06,7.98664,1,2,0.30000000000000004,300
5.01187e-06,8.18281,1,2,0.30000000000000004,300
6.30957e-06,8.35809,1,2,0.30000000000000004,300
7.94328e-06,8.51241,1,2,0.30000000000000004,300
1e-05,8.64635,1,2,0.30000000000000004,300
1.25893e-05,8.76111,1,2,0.30000000000000004,300
1.58489e-05,8.85827,1,2,0.30000000000000004,300
1.99526e-05,8.93967,1,2,0.30000000000000004,300
2.51189e-05,9.00724,1,2,0.30000000000000004,300
3.16228e-05,9.06289,1,2,0.30000000000000004,300
3.98107e-05,9.10843,1,2,0.30000000000000004,300
5.01187e-05,9.14548,1,2,0.30000000000000004,300
6.30957e-05,9.17549,1,2,0.30000000000000004,300
7.94328e-05,9.19971,1,2,0.30000000000000004,300
0.0001,9.21919,1,2,0.30000000000000004,300
1.25893e-09,0.787097,1,2,0.5,400
1.58489e-09,0.884,1,2,0.5,400
1.99526e-09,0.987356,1,2,0.5,400
2.51189e-09,1.09727,1,2,0.5,400
3.16228e-09,1.21396,1,2,0.5,400
3.98107e-09,1.3377,1,2,0.5,400
5.01187e-09,1.46893,1,2,0.5,400
6.30957e-09,1.60813,1,2,0.5,400
7.94328e-09,1.75591,1,2,0.5,400
1e-08,1.91295,1,2,0.5,400
1.25893e-08,2.07997,1,2,0.5,400
1.58489e-08,2.25771,1,2,0.5,400
1.99526e-08,2.44689,1,2,0.5,400
2.51189e-08,2.64819,1,2,0.5,400
3.16228e-08,2.86215,1,2,0.5,400
3.98107e-08,3.08923,1,2,0.5,400
5.01187e-08,3.32968,1,2,0.5,400
6.30957e-08,3.5836,1,2,0.5,400
7.94328e-08,3.85089,1,2,0.5,400
1e-07,4.13126,1,2,0.5,400
